Nested Sampling Global Log-Evidence           :   -0.533457371571918060E+01  +/-    0.479865408489907053E-01
Nested Importance Sampling Global Log-Evidence:   -0.608781162502773832E+01  +/-    0.402607337106741237E+00

Dim No.       Mean        Sigma
   1    0.387178378728509820E+01    0.219248508637783734E+01
   2    0.396590760612495874E+01    0.228010184765604462E+01
   3    0.423936673820427323E+01    0.214799008488096232E+01
   4    0.410427354515867737E+01    0.148062972785366198E+01
   5    0.619539560545853529E+01    0.148538163456839145E+01
   6    0.352422760345559638E+00    0.678292844272583850E-01
   7    0.221995138750113297E+01    0.458841492793325478E+00
   8    0.572055268186910104E+00    0.236817445004620292E+00
   9    0.262064834060187080E+01    0.243367966310066158E+00
  10    0.151339980707629689E+02    0.109175764872056102E+00
  11    0.148848898109633225E+02    0.587126736006903654E-01
  12    0.148885975099224819E+02    0.618235734710442172E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.152508547682370343E+01
   2    0.352207099513177857E+01
   3    0.886973935373103650E+00
   4    0.272422323659921961E+01
   5    0.806415545783746701E+01
   6    0.378174024095288774E+00
   7    0.193318106371486720E+01
   8    0.195859594974571616E+00
   9    0.224890000469474272E+01
  10    0.149649269119306378E+02
  11    0.148249649878231597E+02
  12    0.148333573115969344E+02

MAP Parameters
Dim No.        Parameter
   1    0.752287871316187928E+01
   2    0.199172283886402512E+01
   3    0.123776362344733570E+01
   4    0.342666697288454003E+01
   5    0.645037202430010392E+01
   6    0.374407272509056033E+00
   7    0.213636226184638955E+01
   8    0.531063913664968523E+00
   9    0.290232563648933706E+01
  10    0.150816110384975879E+02
  11    0.148606630845648144E+02
  12    0.148831738388343453E+02
