# n,  X, eps, P, P_e, P_std
1.000000e-02 1.041581e-02 9.425507e+00 -2.967373e-02 7.476882e-04 6.766927e-06
1.100000e-02 1.032062e-02 1.036918e+01 -2.244720e-02 8.386909e-04 9.923321e-06
1.200000e-02 1.028244e-02 1.131302e+01 -1.533721e-02 9.372326e-04 1.407626e-05
1.300000e-02 1.028918e-02 1.225704e+01 -8.346341e-03 1.043717e-03 1.941760e-05
1.400000e-02 1.033212e-02 1.320123e+01 -1.475091e-03 1.158545e-03 2.615646e-05
1.500000e-02 1.040480e-02 1.414559e+01 5.277469e-03 1.282120e-03 3.451941e-05
1.600000e-02 1.050236e-02 1.509011e+01 1.191327e-02 1.414847e-03 4.475048e-05
1.700000e-02 1.062101e-02 1.603479e+01 1.843499e-02 1.557129e-03 5.711127e-05
1.800000e-02 1.075780e-02 1.697963e+01 2.484584e-02 1.709374e-03 7.188103e-05
1.900000e-02 1.091036e-02 1.792462e+01 3.114946e-02 1.871991e-03 8.935677e-05
2.000000e-02 1.107680e-02 1.886976e+01 3.734980e-02 2.045390e-03 1.098533e-04
2.100000e-02 1.125554e-02 1.981505e+01 4.345109e-02 2.229983e-03 1.337034e-04
2.200000e-02 1.144529e-02 2.076048e+01 4.945777e-02 2.426182e-03 1.612577e-04
2.300000e-02 1.164497e-02 2.170606e+01 5.537446e-02 2.634401e-03 1.928850e-04
2.400000e-02 1.185365e-02 2.265177e+01 6.120592e-02 2.855053e-03 2.289723e-04
2.500000e-02 1.207054e-02 2.359761e+01 6.695703e-02 3.088552e-03 2.699247e-04
2.600000e-02 1.229497e-02 2.454359e+01 7.263282e-02 3.335312e-03 3.161657e-04
2.700000e-02 1.252636e-02 2.548970e+01 7.823837e-02 3.595744e-03 3.681371e-04
2.800000e-02 1.276417e-02 2.643593e+01 8.377887e-02 3.870262e-03 4.262992e-04
2.900000e-02 1.300795e-02 2.738229e+01 8.925960e-02 4.159275e-03 4.911310e-04
3.000000e-02 1.325730e-02 2.832877e+01 9.468589e-02 4.463192e-03 5.631299e-04
3.100000e-02 1.351185e-02 2.927536e+01 1.000631e-01 4.782420e-03 6.428120e-04
3.200000e-02 1.377127e-02 3.022207e+01 1.053968e-01 5.117362e-03 7.307125e-04
3.300000e-02 1.403526e-02 3.116889e+01 1.106924e-01 5.468420e-03 8.273850e-04
3.400000e-02 1.430355e-02 3.211582e+01 1.159554e-01 5.835992e-03 9.334024e-04
3.500000e-02 1.457589e-02 3.306286e+01 1.211916e-01 6.220473e-03 1.049357e-03
3.600000e-02 1.485205e-02 3.401000e+01 1.264065e-01 6.622253e-03 1.175858e-03
3.700000e-02 1.513181e-02 3.495725e+01 1.316059e-01 7.041720e-03 1.313537e-03
3.800000e-02 1.541497e-02 3.590459e+01 1.367954e-01 7.479256e-03 1.463043e-03
3.900000e-02 1.570135e-02 3.685203e+01 1.419808e-01 7.935239e-03 1.625045e-03
4.000000e-02 1.599077e-02 3.779957e+01 1.471679e-01 8.410042e-03 1.800230e-03
4.100000e-02 1.628306e-02 3.874720e+01 1.523626e-01 8.904032e-03 1.989306e-03
4.200000e-02 1.657807e-02 3.969492e+01 1.575706e-01 9.417572e-03 2.193000e-03
4.300000e-02 1.687564e-02 4.064273e+01 1.627979e-01 9.951019e-03 2.412058e-03
4.400000e-02 1.717565e-02 4.159063e+01 1.680503e-01 1.050472e-02 2.647248e-03
4.500000e-02 1.747795e-02 4.253861e+01 1.733338e-01 1.107903e-02 2.899355e-03
4.600000e-02 1.778240e-02 4.348667e+01 1.786543e-01 1.167427e-02 3.169184e-03
4.700000e-02 1.808890e-02 4.443482e+01 1.840177e-01 1.229079e-02 3.457564e-03
4.800000e-02 1.839732e-02 4.538305e+01 1.894300e-01 1.292890e-02 3.765338e-03
4.900000e-02 1.870754e-02 4.633135e+01 1.948971e-01 1.358892e-02 4.093374e-03
5.000000e-02 1.901946e-02 4.727973e+01 2.004252e-01 1.427117e-02 4.442557e-03
5.100000e-02 1.933297e-02 4.822819e+01 2.060201e-01 1.497595e-02 4.813795e-03
5.200000e-02 1.964796e-02 4.917671e+01 2.116880e-01 1.570355e-02 5.208013e-03
5.300000e-02 1.996433e-02 5.012532e+01 2.174347e-01 1.645426e-02 5.626159e-03
5.400000e-02 2.028200e-02 5.107399e+01 2.232663e-01 1.722837e-02 6.069201e-03
5.500000e-02 2.060085e-02 5.202273e+01 2.291889e-01 1.802614e-02 6.538128e-03
5.600000e-02 2.092082e-02 5.297154e+01 2.352084e-01 1.884784e-02 7.033947e-03
5.700000e-02 2.124180e-02 5.392042e+01 2.413310e-01 1.969374e-02 7.557689e-03
5.800000e-02 2.156371e-02 5.486937e+01 2.475625e-01 2.056407e-02 8.110404e-03
5.900000e-02 2.188646e-02 5.581838e+01 2.539091e-01 2.145909e-02 8.693163e-03
6.000000e-02 2.220998e-02 5.676746e+01 2.603768e-01 2.237902e-02 9.307059e-03
6.100000e-02 2.253419e-02 5.771660e+01 2.669715e-01 2.332408e-02 9.953205e-03
6.200000e-02 2.285901e-02 5.866581e+01 2.736993e-01 2.429451e-02 1.063274e-02
6.300000e-02 2.318436e-02 5.961508e+01 2.805662e-01 2.529050e-02 1.134681e-02
6.400000e-02 2.351018e-02 6.056442e+01 2.875782e-01 2.631226e-02 1.209659e-02
6.500000e-02 2.383639e-02 6.151381e+01 2.947412e-01 2.735998e-02 1.288330e-02
6.600000e-02 2.416292e-02 6.246327e+01 3.020612e-01 2.843385e-02 1.370813e-02
6.700000e-02 2.448971e-02 6.341279e+01 3.095441e-01 2.953404e-02 1.457234e-02
6.800000e-02 2.481668e-02 6.436238e+01 3.171959e-01 3.066071e-02 1.547720e-02
6.900000e-02 2.514379e-02 6.531202e+01 3.250225e-01 3.181404e-02 1.642397e-02
7.000000e-02 2.547095e-02 6.626173e+01 3.330298e-01 3.299416e-02 1.741397e-02
7.100000e-02 2.579813e-02 6.721150e+01 3.412237e-01 3.420124e-02 1.844853e-02
7.200000e-02 2.612524e-02 6.816133e+01 3.496100e-01 3.543539e-02 1.952900e-02
7.300000e-02 2.645224e-02 6.911123e+01 3.581946e-01 3.669676e-02 2.065674e-02
7.400000e-02 2.677908e-02 7.006119e+01 3.669833e-01 3.798545e-02 2.183316e-02
7.500000e-02 2.710569e-02 7.101121e+01 3.759818e-01 3.930159e-02 2.305967e-02
7.600000e-02 2.743203e-02 7.196129e+01 3.851960e-01 4.064528e-02 2.433770e-02
7.700000e-02 2.775803e-02 7.291144e+01 3.946316e-01 4.201661e-02 2.566872e-02
7.800000e-02 2.808366e-02 7.386166e+01 4.042943e-01 4.341568e-02 2.705422e-02
7.900000e-02 2.840887e-02 7.481194e+01 4.141897e-01 4.484256e-02 2.849569e-02
8.000000e-02 2.873360e-02 7.576228e+01 4.243237e-01 4.629733e-02 2.999466e-02
8.100000e-02 2.905780e-02 7.671270e+01 4.347016e-01 4.778006e-02 3.155269e-02
8.200000e-02 2.938145e-02 7.766318e+01 4.453293e-01 4.929080e-02 3.317135e-02
8.300000e-02 2.970448e-02 7.861373e+01 4.562121e-01 5.082962e-02 3.485223e-02
8.400000e-02 3.002686e-02 7.956434e+01 4.673558e-01 5.239654e-02 3.659695e-02
8.500000e-02 3.034854e-02 8.051503e+01 4.787657e-01 5.399162e-02 3.840717e-02
8.600000e-02 3.066950e-02 8.146580e+01 4.904473e-01 5.561488e-02 4.028453e-02
8.700000e-02 3.098968e-02 8.241663e+01 5.024061e-01 5.726634e-02 4.223074e-02
8.800000e-02 3.130904e-02 8.336754e+01 5.146475e-01 5.894603e-02 4.424749e-02
8.900000e-02 3.162756e-02 8.431852e+01 5.271768e-01 6.065396e-02 4.633653e-02
9.000000e-02 3.194519e-02 8.526958e+01 5.399993e-01 6.239012e-02 4.849962e-02
9.100000e-02 3.226191e-02 8.622072e+01 5.531204e-01 6.415451e-02 5.073853e-02
9.200000e-02 3.257767e-02 8.717194e+01 5.665452e-01 6.594713e-02 5.305508e-02
9.300000e-02 3.289244e-02 8.812324e+01 5.802790e-01 6.776796e-02 5.545108e-02
9.400000e-02 3.320619e-02 8.907463e+01 5.943270e-01 6.961697e-02 5.792840e-02
9.500000e-02 3.351890e-02 9.002610e+01 6.086943e-01 7.149415e-02 6.048891e-02
9.600000e-02 3.383052e-02 9.097765e+01 6.233860e-01 7.339944e-02 6.313451e-02
9.700000e-02 3.414103e-02 9.192929e+01 6.384071e-01 7.533281e-02 6.586713e-02
9.800000e-02 3.445040e-02 9.288102e+01 6.537627e-01 7.729422e-02 6.868871e-02
9.900000e-02 3.475860e-02 9.383285e+01 6.694577e-01 7.928361e-02 7.160123e-02
1.000000e-01 3.506561e-02 9.478476e+01 6.854971e-01 8.130092e-02 7.460668e-02
1.010000e-01 3.537140e-02 9.573677e+01 7.018857e-01 8.334609e-02 7.770709e-02
1.020000e-01 3.567594e-02 9.668888e+01 7.186284e-01 8.541904e-02 8.090450e-02
1.030000e-01 3.597920e-02 9.764109e+01 7.357300e-01 8.751969e-02 8.420099e-02
1.040000e-01 3.628117e-02 9.859340e+01 7.531953e-01 8.964797e-02 8.759864e-02
1.050000e-01 3.658183e-02 9.954581e+01 7.710290e-01 9.180379e-02 9.109957e-02
1.060000e-01 3.688113e-02 1.004983e+02 7.892357e-01 9.398705e-02 9.470595e-02
1.070000e-01 3.717907e-02 1.014510e+02 8.078202e-01 9.619764e-02 9.841992e-02
1.080000e-01 3.747562e-02 1.024037e+02 8.267870e-01 9.843548e-02 1.022437e-01
1.090000e-01 3.777077e-02 1.033565e+02 8.461406e-01 1.007004e-01 1.061795e-01
1.100000e-01 3.806448e-02 1.043095e+02 8.658856e-01 1.029924e-01 1.102295e-01
1.110000e-01 3.835674e-02 1.052626e+02 8.860264e-01 1.053112e-01 1.143961e-01
1.120000e-01 3.864753e-02 1.062158e+02 9.065675e-01 1.076569e-01 1.186815e-01
1.130000e-01 3.893683e-02 1.071691e+02 9.275132e-01 1.100291e-01 1.230881e-01
1.140000e-01 3.922462e-02 1.081225e+02 9.488680e-01 1.124278e-01 1.276181e-01
1.150000e-01 3.951088e-02 1.090761e+02 9.706360e-01 1.148528e-01 1.322740e-01
1.160000e-01 3.979560e-02 1.100298e+02 9.928215e-01 1.173041e-01 1.370582e-01
1.170000e-01 4.007875e-02 1.109836e+02 1.015429e+00 1.197814e-01 1.419731e-01
1.180000e-01 4.036032e-02 1.119376e+02 1.038462e+00 1.222845e-01 1.470211e-01
1.190000e-01 4.064029e-02 1.128917e+02 1.061925e+00 1.248134e-01 1.522047e-01
1.200000e-01 4.091864e-02 1.138459e+02 1.085823e+00 1.273678e-01 1.575264e-01
1.210000e-01 4.119537e-02 1.148003e+02 1.110159e+00 1.299475e-01 1.629888e-01
1.220000e-01 4.147044e-02 1.157548e+02 1.134937e+00 1.325525e-01 1.685944e-01
1.230000e-01 4.174386e-02 1.167095e+02 1.160161e+00 1.351824e-01 1.743458e-01
1.240000e-01 4.201559e-02 1.176643e+02 1.185835e+00 1.378371e-01 1.802455e-01
1.250000e-01 4.228562e-02 1.186192e+02 1.211963e+00 1.405164e-01 1.862963e-01
1.260000e-01 4.255395e-02 1.195744e+02 1.238549e+00 1.432201e-01 1.925007e-01
1.270000e-01 4.282055e-02 1.205296e+02 1.265597e+00 1.459480e-01 1.988615e-01
1.280000e-01 4.308542e-02 1.214851e+02 1.293110e+00 1.486999e-01 2.053814e-01
1.290000e-01 4.334852e-02 1.224407e+02 1.321092e+00 1.514755e-01 2.120632e-01
1.300000e-01 4.360986e-02 1.233964e+02 1.349547e+00 1.542747e-01 2.189095e-01
1.310000e-01 4.386942e-02 1.243524e+02 1.378479e+00 1.570971e-01 2.259232e-01
1.320000e-01 4.412718e-02 1.253085e+02 1.407891e+00 1.599426e-01 2.331071e-01
1.330000e-01 4.438312e-02 1.262648e+02 1.437786e+00 1.628109e-01 2.404641e-01
1.340000e-01 4.463724e-02 1.272212e+02 1.468169e+00 1.657018e-01 2.479970e-01
