# n,  x, eps, mun, mun_std, mup, mup_std,  mue, P, P_e, P_std, E, E_std
0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 nan nan nan nan 5.1100000000e-01 nan 0.0000000000e+00 nan 9.2741381892e-07 0.0000000000e+00
1.0000000000e-03 0.0000000000e+00 9.4033970058e-01 1.2854437187e+00 2.4954751729e-05 -2.4274632870e+00 2.6881381582e-05 5.1100000000e-01 5.1074313567e-04 0.0000000000e+00 1.7534651742e-08 7.7470058305e-01 7.4544301571e-06
2.0000000000e-03 0.0000000000e+00 1.8814996379e+00 1.8653175149e+00 1.2646938152e-04 -4.2952824131e+00 1.3614051888e-04 5.1100000000e-01 1.3609971246e-03 0.0000000000e+00 1.7811886626e-07 1.1848189526e+00 3.7683922726e-05
3.0000000000e-03 0.0000000000e+00 2.8231553912e+00 2.3029278894e+00 3.2727093561e-04 -6.2396784481e+00 3.5212263260e-04 5.1100000000e-01 2.4483924204e-03 0.0000000000e+00 6.9264630367e-07 1.4867970826e+00 9.7311603857e-05
4.0000000000e-03 0.0000000000e+00 3.7652173814e+00 2.6846593752e+00 6.4306964466e-04 -8.1170891892e+00 6.9163580140e-04 5.1100000000e-01 3.7812561506e-03 0.0000000000e+00 1.8175970297e-06 1.7393453375e+00 1.9085387504e-04
5.0000000000e-03 0.0000000000e+00 4.7076447143e+00 3.0359432106e+00 1.0865851065e-03 -9.8901638559e+00 1.1682899319e-03 5.1100000000e-01 5.3600018026e-03 0.0000000000e+00 3.8445729522e-06 1.9639428501e+00 3.2192835137e-04
6.0000000000e-03 0.0000000000e+00 5.6504121902e+00 3.3658356395e+00 1.6687695383e-03 -1.1553873954e+01 1.7938134708e-03 5.1100000000e-01 7.1728236381e-03 0.0000000000e+00 7.0949730848e-06 2.1703650331e+00 4.9362056769e-04
7.0000000000e-03 0.0000000000e+00 6.5935004808e+00 3.6779572308e+00 2.3993795597e-03 -1.3114288400e+01 2.5786693723e-03 5.1100000000e-01 9.2002198409e-03 0.0000000000e+00 1.1916609764e-05 2.3636401106e+00 7.0865652931e-04
8.0000000000e-03 0.0000000000e+00 7.5368927549e+00 3.9740106772e+00 3.2873003745e-03 -1.4581052372e+01 3.5324023789e-03 5.1100000000e-01 1.1419330554e-02 0.0000000000e+00 1.8681341579e-05 2.5465943579e+00 9.6949994547e-04
9.0000000000e-03 0.0000000000e+00 8.4805735003e+00 4.2550540862e+00 4.3407576487e-03 -1.5964450685e+01 4.6638679205e-03 5.1100000000e-01 1.3806986476e-02 0.0000000000e+00 2.7783374340e-05 2.7209444778e+00 1.2784132020e-03
1.0000000000e-02 0.0000000000e+00 9.4245281560e+00 4.5219766060e+00 5.5674380377e-03 -1.7274240128e+01 5.9813609386e-03 5.1100000000e-01 1.6341610097e-02 0.0000000000e+00 3.9637769946e-05 2.8878155963e+00 1.6374984513e-03
1.1000000000e-02 0.0000000000e+00 1.0368743042e+01 4.7756651481e+00 6.9746009893e-03 -1.8519223115e+01 7.4927360910e-03 5.1100000000e-01 1.9004274966e-02 0.0000000000e+00 5.4679472319e-05 3.0480037876e+00 2.0487267880e-03
1.2000000000e-02 0.0000000000e+00 1.1313205384e+01 5.0170476945e+00 8.5691441138e-03 -1.9707144334e+01 9.2054761343e-03 5.1100000000e-01 2.1779188479e-02 0.0000000000e+00 7.3362312585e-05 3.2021153213e+00 2.5139598047e-03
1.3000000000e-02 0.0000000000e+00 1.2257903356e+01 5.2470887315e+00 1.0357652869e-02 -2.0844727508e+01 1.1126745428e-02 5.1100000000e-01 2.4653797138e-02 0.0000000000e+00 9.6158200805e-05 3.3506427978e+00 3.0349660255e-03
1.4000000000e-02 0.0000000000e+00 1.3202826108e+01 5.4667687229e+00 1.2346466422e-02 -2.1937768409e+01 1.3263467997e-02 5.1100000000e-01 2.7618654435e-02 0.0000000000e+00 1.2355678835e-04 3.4940076918e+00 3.6134337558e-03
1.5000000000e-02 0.0000000000e+00 1.4147963765e+01 5.6770609427e+00 1.4541668380e-02 -2.2991245386e+01 1.5622302083e-02 5.1100000000e-01 3.0667149284e-02 0.0000000000e+00 1.5606431967e-04 3.6325843238e+00 4.2509813440e-03
1.6000000000e-02 0.0000000000e+00 1.5093307416e+01 5.8789111012e+00 1.6949164728e-02 -2.4009429060e+01 1.8209740513e-02 5.1100000000e-01 3.3795161562e-02 0.0000000000e+00 1.9420378311e-04 3.7667135036e+00 4.9491655207e-03
1.7000000000e-02 0.0000000000e+00 1.6038849074e+01 6.0732213502e+00 1.9574673308e-02 -2.4995983728e+01 2.1032089352e-02 5.1100000000e-01 3.7000688558e-02 0.0000000000e+00 2.3851411205e-04 3.8967102586e+00 5.7094882800e-03
1.8000000000e-02 0.0000000000e+00 1.6984581629e+01 6.2608389491e+00 2.2423739381e-02 -2.5954057209e+01 2.4095482470e-02 5.1100000000e-01 4.0283472533e-02 0.0000000000e+00 2.8954965692e-04 4.0228682529e+00 6.5334026318e-03
1.9000000000e-02 0.0000000000e+00 1.7930498784e+01 6.4425489563e+00 2.5501800123e-02 -2.6886358963e+01 2.7405957685e-02 5.1100000000e-01 4.3644646300e-02 0.0000000000e+00 3.4788061404e-04 4.1454623090e+00 7.4223174643e-03
2.0000000000e-02 0.0000000000e+00 1.8876594998e+01 6.6190703682e+00 2.8814123681e-02 -2.7795227007e+01 3.0969390006e-02 5.1100000000e-01 4.7086409633e-02 0.0000000000e+00 4.1409158856e-04 4.2647498865e+00 8.3776016969e-03
2.1000000000e-02 0.0000000000e+00 1.9822865413e+01 6.7910549232e+00 3.2365870018e-02 -2.8682684798e+01 3.4791548251e-02 5.1100000000e-01 5.0611740359e-02 0.0000000000e+00 4.8878205868e-04 4.3809720489e+00 9.4005878577e-03
2.2000000000e-02 0.0000000000e+00 2.0769305791e+01 6.9590879495e+00 3.6162132974e-02 -2.9550489311e+01 3.8878165180e-02 5.1100000000e-01 5.4224143814e-02 0.0000000000e+00 5.7256661990e-04 4.4943541398e+00 1.0492575191e-02
2.3000000000e-02 0.0000000000e+00 2.1715912446e+01 7.1236907547e+00 4.0207839976e-02 -3.0400171483e+01 4.3234792499e-02 5.1100000000e-01 5.7927441188e-02 0.0000000000e+00 6.6607292790e-04 4.6051063552e+00 1.1654832372e-02
2.4000000000e-02 0.0000000000e+00 2.2662682183e+01 7.2853239757e+00 4.4507888541e-02 -3.1233070376e+01 4.7866974666e-02 5.1100000000e-01 6.1725592042e-02 0.0000000000e+00 7.6994389951e-04 4.7134243073e+00 1.2888599904e-02
2.5000000000e-02 0.0000000000e+00 2.3609612239e+01 7.4443917354e+00 4.9067048782e-02 -3.2050361693e+01 5.2780140722e-02 5.1100000000e-01 6.5622553903e-02 0.0000000000e+00 8.8483532469e-04 4.8194895792e+00 1.4195092231e-02
2.6000000000e-02 0.0000000000e+00 2.4556700230e+01 7.6012461686e+00 5.3890015666e-02 -3.2853081814e+01 5.7979642194e-02 5.1100000000e-01 6.9622170790e-02 0.0000000000e+00 1.0114169000e-03 4.9234703690e+00 1.5575499625e-02
2.7000000000e-02 0.0000000000e+00 2.5503944096e+01 7.7561920918e+00 5.8981477145e-02 -3.3642147979e+01 6.3470850398e-02 5.1100000000e-01 7.3728090254e-02 0.0000000000e+00 1.1503728887e-03 5.0255220824e+00 1.7030989874e-02
2.8000000000e-02 0.0000000000e+00 2.6451342065e+01 7.9094918013e+00 6.4346004621e-02 -3.4418375215e+01 6.9259037037e-02 5.1100000000e-01 7.7943704942e-02 0.0000000000e+00 1.3024001957e-03 5.1257880534e+00 1.8562709795e-02
2.9000000000e-02 0.0000000000e+00 2.7398892606e+01 8.0613697287e+00 6.9988049284e-02 -3.5182490556e+01 7.5349346972e-02 5.1100000000e-01 8.2272115722e-02 0.0000000000e+00 1.4682073645e-03 5.2244002210e+00 2.0171786603e-02
3.0000000000e-02 0.0000000000e+00 2.8346594395e+01 8.2120169156e+00 7.5912131446e-02 -3.5935145110e+01 8.1747016834e-02 5.1100000000e-01 8.6716112550e-02 0.0000000000e+00 1.6485191788e-03 5.3214798306e+00 2.1859329149e-02
3.1000000000e-02 0.0000000000e+00 2.9294446284e+01 8.3615953233e+00 8.2122611143e-02 -3.6676924046e+01 8.8457136092e-02 5.1100000000e-01 9.1278171028e-02 0.0000000000e+00 1.8440705655e-03 5.4171381934e+00 2.3626429047e-02
3.2000000000e-02 0.0000000000e+00 3.0242447275e+01 8.5102417582e+00 8.8623871302e-02 -3.7408355264e+01 9.5484835112e-02 5.1100000000e-01 9.5960461112e-02 0.0000000000e+00 2.0556121959e-03 5.5114773485e+00 2.5474161699e-02
3.3000000000e-02 0.0000000000e+00 3.1190596496e+01 8.6580715845e+00 9.5420204991e-02 -3.8129916528e+01 1.0283515874e-01 5.1100000000e-01 1.0076486665e-01 0.0000000000e+00 2.2839048694e-03 5.6045907768e+00 2.7403587235e-02
3.4000000000e-02 0.0000000000e+00 3.2138893179e+01 8.8051821128e+00 1.0251584696e-01 -3.8842041640e+01 1.1051310928e-01 5.1100000000e-01 1.0569301310e-01 0.0000000000e+00 2.5297228645e-03 5.6965640804e+00 2.9415751379e-02
3.5000000000e-02 0.0000000000e+00 3.3087336648e+01 8.9516556414e+00 1.0991501470e-01 -3.9545125659e+01 1.1852369083e-01 5.1100000000e-01 1.1074629981e-01 0.0000000000e+00 2.7938531340e-03 5.7874756467e+00 3.1511686236e-02
3.6000000000e-02 0.0000000000e+00 3.4035926301e+01 9.0975622342e+00 1.1762194403e-01 -4.0239529342e+01 1.2687192812e-01 5.1100000000e-01 1.1592593916e-01 0.0000000000e+00 3.0770972251e-03 5.8773972575e+00 3.3692411030e-02
3.7000000000e-02 0.0000000000e+00 3.4984661603e+01 9.2429621621e+00 1.2564076972e-01 -4.0925583003e+01 1.3556281651e-01 5.1100000000e-01 1.2123299658e-01 0.0000000000e+00 3.3802680406e-03 5.9663946869e+00 3.5958932775e-02
3.8000000000e-02 0.0000000000e+00 3.5933542074e+01 9.3879081019e+00 1.3397545859e-01 -4.1603589716e+01 1.4460104473e-01 5.1100000000e-01 1.2666843357e-01 0.0000000000e+00 3.7041836101e-03 6.0545282710e+00 3.8312246908e-02
3.9000000000e-02 0.0000000000e+00 3.6882567284e+01 9.5324470467e+00 1.4263030397e-01 -4.2273828232e+01 1.5399188720e-01 5.1100000000e-01 1.3223315101e-01 0.0000000000e+00 4.0496907044e-03 6.1418534312e+00 4.0753337867e-02
4.0000000000e-02 0.0000000000e+00 3.7831736847e+01 9.6766219502e+00 1.5160915766e-01 -4.2936555398e+01 1.6373994898e-01 5.1100000000e-01 1.3792803099e-01 0.0000000000e+00 4.4176308862e-03 6.2284211754e+00 4.3283179634e-02
4.1000000000e-02 0.0000000000e+00 3.8781050420e+01 9.8204731883e+00 1.6091617099e-01 -4.3592008285e+01 1.7385031932e-01 5.1100000000e-01 1.4375398082e-01 0.0000000000e+00 4.8088702503e-03 6.3142785342e+00 4.5902736243e-02
4.2000000000e-02 0.0000000000e+00 3.9730507698e+01 9.9640397252e+00 1.7055517444e-01 -4.4240406126e+01 1.8432764960e-01 5.1100000000e-01 1.4971197002e-01 0.0000000000e+00 5.2242765219e-03 6.3994690103e+00 4.8612962251e-02
4.3000000000e-02 0.0000000000e+00 4.0680108417e+01 1.0107360201e+01 1.8053029784e-01 -4.4881951906e+01 1.9517699861e-01 5.1100000000e-01 1.5580307125e-01 0.0000000000e+00 5.6647425809e-03 6.4840329630e+00 5.1414803179e-02
