# n,  x, eps, mun, mun_std, mup, mup_std,  mue, P, P_e, P_std, E, E_std
0.0000000000e+00 9.6161694427e-02 0.0000000000e+00 nan nan nan nan 5.1100000000e-01 nan 0.0000000000e+00 nan -3.5266049188e-05 0.0000000000e+00
1.0000000000e-03 1.8500427966e-03 9.4033043879e-01 1.2809408059e+00 2.4900693344e-05 -2.4325732297e+00 2.6759725030e-05 7.5115229789e+00 5.0623974646e-04 3.4503102786e-06 1.7480532117e-08 7.6783089953e-01 7.4314271571e-06
2.0000000000e-03 7.2887541480e-04 1.8814887738e+00 1.8617746915e+00 1.2636119841e-04 -4.2968966819e+00 1.3589781434e-04 6.9406713734e+00 1.3539128979e-03 2.5091349944e-06 1.7790222626e-07 1.1803293384e+00 3.7638082438e-05
3.0000000000e-03 1.1801451702e-03 2.8231205801e+00 2.2946984114e+00 3.2681718722e-04 -6.2415233359e+00 3.5110731680e-04 9.3182217473e+00 2.4237154109e-03 8.2107280961e-06 6.9128280584e-07 1.4767192936e+00 9.7120005454e-05
4.0000000000e-03 1.6972542336e-03 3.7651353142e+00 2.6697792207e+00 6.4178751562e-04 -8.1187453580e+00 6.8877223039e-04 1.1570524579e+01 3.7217810232e-03 1.9580983159e-05 1.8124575774e-06 1.7210230958e+00 1.9031377391e-04
5.0000000000e-03 2.2488949562e-03 4.7074849502e+00 3.0128029431e+00 1.0837152833e-03 -9.8911841889e+00 1.1618903218e-03 1.3685987132e+01 5.2444268759e-03 3.8392817494e-05 3.8301878171e-06 1.9348978564e+00 3.2072219407e-04
6.0000000000e-03 2.8138744766e-03 5.6501387371e+00 3.3332182559e+00 1.6632579916e-03 -1.1553850804e+01 1.7815379532e-03 1.5669069060e+01 6.9774003714e-03 6.6031032408e-05 7.0618086704e-06 2.1284278503e+00 4.9130875000e-04
7.0000000000e-03 3.3783447561e-03 6.5930733057e+00 3.6349907156e+00 2.3898738204e-03 -1.3112880866e+01 2.5575191594e-03 1.7529871582e+01 8.8999913636e-03 1.0350667688e-04 1.1849854578e-05 2.3069832938e+00 7.0467619607e-04
8.0000000000e-03 3.9336752527e-03 7.5362690201e+00 3.9200928286e+00 3.2721523572e-03 -1.4577989816e+01 3.4987229126e-03 1.9280082645e+01 1.0988909039e-02 1.5152371358e-04 1.8559717246e-05 2.4737137488e+00 9.6316704690e-04
9.0000000000e-03 4.4748384850e-03 8.4797084846e+00 4.1897774910e+00 4.3180307162e-03 -1.5959523355e+01 4.6133685491e-03 2.0931300846e+01 1.3220955302e-02 2.1055640471e-04 2.7578018604e-05 2.6306175905e+00 1.2689259582e-03
1.0000000000e-02 4.9992356214e-03 9.4233758938e+00 4.4450648790e+00 5.5349204621e-03 -1.7267284000e+01 5.9091339825e-03 2.2494348879e+01 1.5574663426e-02 2.8091914415e-04 3.9311195252e-05 2.7790533884e+00 1.6239411152e-03
1.1000000000e-02 5.5058660249e-03 1.0367256735e+01 4.6869232200e+00 6.9298068851e-03 -1.8510103187e+01 7.3932640722e-03 2.3979026407e+01 1.8031193758e-02 3.6282267144e-04 5.4184443792e-05 2.9200040679e+00 2.0300731034e-03
1.2000000000e-02 5.9947509018e-03 1.1311337644e+01 4.9163253136e+00 8.5093216960e-03 -1.9695738811e+01 9.0726477007e-03 2.5394064124e+01 2.0574727056e-02 4.5641627939e-04 7.2640869403e-05 3.0542215320e+00 2.4890758796e-03
1.3000000000e-02 6.4665387671e-03 1.2255606325e+01 5.1342549107e+00 1.0279800348e-02 -2.0830914015e+01 1.0953874583e-02 2.6747168925e+01 2.3192530520e-02 5.6181786704e-04 9.5140756583e-05 3.1823093300e+00 3.0026125341e-03
1.4000000000e-02 6.9222387877e-03 1.3200051497e+01 5.3416947859e+00 1.2247312627e-02 -2.1921412763e+01 1.3043269867e-02 2.8045107549e+01 2.5874818839e-02 6.7913430614e-04 1.2216084518e-04 3.3047716997e+00 3.5722674937e-03
1.5000000000e-02 7.3630430242e-03 1.4144662844e+01 5.5396099763e+00 1.4417701731e-02 -2.2972192884e+01 1.5346928939e-02 2.9293802861e+01 2.8614494654e-02 8.0847447452e-04 1.5419379038e-04 3.4220433682e+00 4.1995562145e-03
1.6000000000e-02 7.7902099534e-03 1.5089430967e+01 5.7289320364e+00 1.6796624508e-02 -2.3987498132e+01 1.7870766847e-02 3.0498430169e+01 3.1406825690e-02 9.4995693354e-04 1.9174791190e-04 3.5345082007e+00 4.8859330581e-03
1.7000000000e-02 8.2049901260e-03 1.6034347334e+01 5.9105462924e+00 1.9389534942e-02 -2.4970961606e+01 2.0620488606e-02 3.1663507899e+01 3.4249097238e-02 1.1037138392e-03 2.3534617776e-04 3.6425110462e+00 5.6327978172e-03
