# n, x, eps, P, P_e, P_std
0.0000000000e+00 9.6161694427e-02 0.0000000000e+00 nan 0.0000000000e+00 nan
1.0000000000e-03 1.8500427966e-03 9.4033043879e-01 5.0623974646e-04 3.4503102786e-06 1.7480532117e-08
2.0000000000e-03 7.2887541480e-04 1.8814887738e+00 1.3539128979e-03 2.5091349944e-06 1.7790222626e-07
3.0000000000e-03 1.1801451702e-03 2.8231205801e+00 2.4237154109e-03 8.2107280961e-06 6.9128280584e-07
4.0000000000e-03 1.6972542336e-03 3.7651353142e+00 3.7217810232e-03 1.9580983159e-05 1.8124575774e-06
5.0000000000e-03 2.2488949562e-03 4.7074849502e+00 5.2444268759e-03 3.8392817494e-05 3.8301878171e-06
6.0000000000e-03 2.8138744766e-03 5.6501387371e+00 6.9774003714e-03 6.6031032408e-05 7.0618086704e-06
7.0000000000e-03 3.3783447561e-03 6.5930733057e+00 8.8999913636e-03 1.0350667688e-04 1.1849854578e-05
8.0000000000e-03 3.9336752527e-03 7.5362690201e+00 1.0988909039e-02 1.5152371358e-04 1.8559717246e-05
9.0000000000e-03 4.4748384850e-03 8.4797084846e+00 1.3220955302e-02 2.1055640471e-04 2.7578018604e-05
1.0000000000e-02 4.9992356214e-03 9.4233758938e+00 1.5574663426e-02 2.8091914415e-04 3.9311195252e-05
1.1000000000e-02 5.5058660249e-03 1.0367256735e+01 1.8031193758e-02 3.6282267144e-04 5.4184443792e-05
1.2000000000e-02 5.9947509018e-03 1.1311337644e+01 2.0574727056e-02 4.5641627939e-04 7.2640869403e-05
1.3000000000e-02 6.4665387671e-03 1.2255606325e+01 2.3192530520e-02 5.6181786704e-04 9.5140756583e-05
1.4000000000e-02 6.9222387877e-03 1.3200051497e+01 2.5874818839e-02 6.7913430614e-04 1.2216084518e-04
1.5000000000e-02 7.3630430242e-03 1.4144662844e+01 2.8614494654e-02 8.0847447452e-04 1.5419379038e-04
1.6000000000e-02 7.7902099534e-03 1.5089430967e+01 3.1406825690e-02 9.4995693354e-04 1.9174791190e-04
1.7000000000e-02 8.2049901260e-03 1.6034347334e+01 3.4249097238e-02 1.1037138392e-03 2.3534617776e-04
1.8000000000e-02 8.6085804033e-03 1.6979404223e+01 3.7140265798e-02 1.2698922605e-03 2.8552653224e-04
1.9000000000e-02 9.0020975765e-03 1.7924594668e+01 4.0080629950e-02 1.4486537980e-03 3.4284088507e-04
2.0000000000e-02 9.3865649543e-03 1.8869912398e+01 4.3071528413e-02 1.6401731447e-03 4.0785519899e-04
2.1000000000e-02 9.7629074824e-03 1.9815351780e+01 4.6115070782e-02 1.8446360395e-03 4.8114958225e-04
2.2000000000e-02 1.0131952323e-02 2.0760907763e+01 4.9213902846e-02 2.0622369193e-03 5.6331685160e-04
2.3000000000e-02 1.0494432922e-02 2.1706575819e+01 5.2371007289e-02 2.2931765121e-03 6.5496384342e-04
2.4000000000e-02 1.0850995002e-02 2.2652351893e+01 5.5589537485e-02 2.5376594761e-03 7.5670930558e-04
2.5000000000e-02 1.1202203713e-02 2.3598232353e+01 5.8872683471e-02 2.7958922241e-03 8.6918589656e-04
2.6000000000e-02 1.1548551131e-02 2.4544213945e+01 6.2223566022e-02 3.0680809416e-03 9.9303898305e-04
2.7000000000e-02 1.1890463816e-02 2.5490293748e+01 6.5645157476e-02 3.3544298621e-03 1.1289255671e-03
2.8000000000e-02 1.2228310112e-02 2.6436469137e+01 6.9140224028e-02 3.6551397960e-03 1.2775156324e-03
2.9000000000e-02 1.2562407030e-02 2.7382737747e+01 7.2711289545e-02 3.9704069106e-03 1.4394909023e-03
3.0000000000e-02 1.2893026663e-02 2.8329097441e+01 7.6360614600e-02 4.3004217670e-03 1.6155476756e-03
3.1000000000e-02 1.3220402049e-02 2.9275546285e+01 8.0090191114e-02 4.6453685857e-03 1.8063899167e-03
3.2000000000e-02 1.3544732494e-02 3.0222082519e+01 8.3901747823e-02 5.0054247274e-03 2.0127392404e-03
3.3000000000e-02 1.3866188400e-02 3.1168704538e+01 8.7796766065e-02 5.3807603928e-03 2.2353232562e-03
